job_title,company,job_location,job_summary,post_date,today,job_salary,job_url
Business Analyst,CILA Project10K,"Remote in Bengaluru, Karnataka","Strong experience in managing a team of data, product, and business analysts.,Analyzes user needs to determine functional and cross-functional requirements and…",EmployerActive 14 days ago,2022-07-26,"₹24,00,000 a year",https://in.indeed.com/company/10x-Incubator/jobs/Business-Analyst-18226a472cb7bfa6?fccid=deabe528f98627da&vjs=3
Digital Analyst - LiveOps Data Engineering - QuantumBlack La...,McKinsey & Company,"Gurgaon, Haryana","Assetize data pipelines developed as to maximize re-usability of core components in other data initiatives.,Identify innovative data ingestion and preparation…",Posted6 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=359a589f4a507f2b&fccid=6576e7250aa78c3c&vjs=3
Data Research Analyst,Paxcom India,"Delhi, Delhi","Capturing the researched data on Excel sheet in required format.,PaymentUs leads the North American marketplace in electronic bill payment solutions and have…",Posted25 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=c4e65cf8ce60525e&fccid=0963aa5c8f6d9b08&vjs=3
Data Analyst,Leesha Media IT solutions Private Limited,"Bengaluru, Karnataka","Bengaluru, Bengaluru - 560079, Karnataka: Reliably commute or planning to relocate before starting work (Required).,Total work: 1 year (Preferred).",EmployerActive 3 days ago,2022-07-26,"₹10,000 a month",https://in.indeed.com/company/Leesha-Media-IT-solutions-Private-Limited/jobs/Data-Analyst-35e8cbe581308971?fccid=bc77a99b63d264f7&vjs=3
Senior Data Analyst,Sworks Software India Pvt Ltd,"Pune, Maharashtra","Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, database design development,…",EmployerActive 20 days ago,2022-07-26,"₹8,00,000 - ₹12,00,000 a year",https://in.indeed.com/company/Sworks-Software-India-Pvt-Ltd/jobs/Senior-Data-Analyst-ac01343db7f47318?fccid=ae1b271c8076fa8f&vjs=3
Data Analytics Developer,Standard Chartered,"Bengaluru, Karnataka","Supporting initiatives for data integrity and normalization.,Develop and implement databases, data collection systems, data analytics and other strategies that…",Posted14 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=b4644ede58fdd675&fccid=5249cd8e17163cb5&vjs=3
Data Analyst,IFS,"Kolkata, West Bengal",Establish reporting and data display guidelines based on best practices to ensure consistent and appropriate use of data across the organisation.,Posted7 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=50d8c14a5d93dc43&fccid=34ef20d09a3b10f6&vjs=3
Sr Data Analyst,Inspira,"Bengaluru, Karnataka+1 location","Experience with SAS visual Investigator (VI) are advantage, Minimum 3 to 4 years’ experience in SAS with Banking Domain, Knowledge and experience in end-to-end…",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=9935ae16ebe4b8fb&fccid=6b04994957cf813e&vjs=3
Data Analyst - EMEA,American Express Global Business Travel,"Gurgaon, Haryana","The target is to accurately input and maintain data to maintain the excellence of service that we deliver to our customers, providing maximum quality of data.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=030c5daee113bd21&fccid=65a610215742c669&vjs=3
Retail Data and EDI Analyst,Customized Energy Solutions,"Pune, Maharashtra","Backend validation for data completeness/correctness and performance.,Retail Customized Energy Solutions is looking for an Analyst with experience in X12/EDI…",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=b377de90af974953&fccid=b02eb8dc0f7d2a43&vjs=3
